company,avg_sentiment,total_chunks,avg_specificity,report_sentiment,news_sentiment,greenwashing_index,report_chunks,news_chunks,data_quality
Coles Group,0.3143,126,0.1904,0.3432,-0.385,0.5755,121,5.0,ok
Woolworths Australia,-0.1181,78,0.1904,-0.0821,-0.3376,0.5279,67,11.0,ok
Santos,-0.1022,385,0.3087,-0.1049,-0.0354,0.3441,370,15.0,ok
NBN,0.3923,39,0.3,0.413,0.009,0.291,37,2.0,insufficient_news_data
CBA,-0.2115,306,0.2374,-0.2141,-0.0119,0.2493,302,4.0,insufficient_news_data
LVMH,0.4976,144,0.4085,0.5017,0.208,0.2004,142,2.0,insufficient_news_data
Qantas,0.225,144,0.2328,0.2265,0.183,0.0498,139,5.0,ok
Gucci,0.7941,18,0.6971,0.8019,0.6621,0.035,17,1.0,insufficient_news_data
UniQlo,0.6688,34,0.1754,0.7157,0.3166,-0.1412,30,4.0,insufficient_news_data
AGL,0.0117,293,0.1536,0.0034,0.8133,-0.6597,290,3.0,insufficient_news_data
ANZ,0.064,74,-0.0491,0.064,,,74,,ok
Muji,0.4834,87,0.0758,0.4834,,,87,,ok
