company,report_sentiment,report_chunks,news_sentiment,news_chunks,divergence_score,data_quality
Coles Group,0.3432,121,-0.385,5.0,0.7282,ok
NBN,0.413,37,0.009,2.0,0.404,insufficient_news_data
UniQlo,0.7157,30,0.3166,4.0,0.3991,insufficient_news_data
LVMH,0.5017,142,0.208,2.0,0.2937,insufficient_news_data
Woolworths Australia,-0.0821,67,-0.3376,11.0,0.2555,ok
Gucci,0.8019,17,0.6621,1.0,0.1398,insufficient_news_data
Qantas,0.2265,139,0.183,5.0,0.0435,ok
Santos,-0.1049,370,-0.0354,15.0,-0.0695,ok
CBA,-0.2141,302,-0.0119,4.0,-0.2022,insufficient_news_data
AGL,0.0034,290,0.8133,3.0,-0.8099,insufficient_news_data
ANZ,0.064,74,,,,insufficient_news_data
Muji,0.4834,87,,,,insufficient_news_data
